Id,Label,Country,Following,Followers,Tweets
620,@paugasol,Spain,321,7348519,12213
559,@TheEllenShow,United_states,35948,76971493,15846
599,@voguemagazine,United_states,528,13627899,85531
711,@SergioRamos,Spain,727,13791185,3484
659,@mario_casas_,Spain,274,1857540,2212
431,@IanMcKellen,United_kingdom,637,3846405,1896
172,@julienco_,Germany,1178,1479563,7822
625,@LuzuGames,Spain,99,3015991,14197
356,@lapinella,Italy,479,1661410,4755
689,@LaLiga,Spain,813,3380746,95821
160,@SPIEGEL_EIL,Germany,27,1842823,1804
478,@zaynmalik,United_kingdom,2259,26407405,3416
