Id, Name, Year, MinPlayers, MaxPlayers, MinPlayTime, MaxPlayTime, PlayingTime, NumOwned, Age,
179841, Argonauts: Wrath of Gods Mini Expansion, 2015, 1, 4, 45, 60, 60, 167, -1, 
158976, Ascension: Year One Collector's Edition, 2015, 1, 6, 30, 30, 30, 866, -1, 
213788, Ascension: Year Three Collector's Edition, 2016, 1, 6, 30, -1, 30, 396, -1, 
181876, Ashes: Dimona Odinstar, 2015, 2, 4, 30, 120, 120, 1114, -1, 
189637, Ashes: Lulu Firststone, 2016, 2, -1, -1, -1, -1, 639, -1, 
201903, Ashes: Orrick Gilstream, 2016, -1, -1, -1, -1, -1, 432, -1, 
235599, Ashes: The Goddess of Ishra, 2017, 2, 4, 30, 30, 30, 437, -1, 
226915, Ashes: The Laws of Lions, 2017, 2, 4, 60, 60, 60, 736, -1, 
236476, Ashes: The Masters of Gravity, 2017, 2, 4, 30, 30, 30, 473, -1, 
236477, Ashes: The Path of Assassins, 2017, 2, 4, 30, 30, 30, 492, -1, 
226916, Ashes: Das Lied von Sturmklippe, 2017, 2, 4, 60, 60, 60, 756, -1, 
258325, Banjooli Xeet (second edition), 2018, 2, 5, 30, 30, 30, 32, -1, 
205346, Beer Empire, 2016, 2, 4, 60, 120, 120, 337, -1, 
194669, Boss Monster: Collector Box, 2015, 2, 4, 20, -1, 20, 1770, -1, 
202831, Boss Monster: Crash Landing, 2016, 2, 6, 20, -1, 20, 2178, -1, 
164746, Boss Monster: Killa; Man Eating Gorilla Promo, 2014, 2, 4, 20, 20, 20, 174, -1, 
164095, Boss Monster: Paper & Pixels, 2015, 2, 4, 20, -1, 20, 1976, -1, 
11416, Burn in Hell, 2004, 2, 5, 90, 90, 90, 798, -1, 
206188, Cacao: Chocolatl – New Storage Spaces, 2016, 2, 4, 60, 60, 60, 632, -1, 
145888, CapCom Street Fighter Deck-Building Game, 2014, 2, 5, 45, 45, 45, 983, -1, 
169392, Carcassonne: Halb so wild II, 2014, 2, 6, 45, 45, 45, 718, -1, 
205079, Checkpoint Charlie, 2016, 3, 5, 20, 30, 30, 444, -1, 
206565, Clank!: Dire Wolf, 2016, 2, 4, 60, 90, 90, 1155, -1, 
159141, Code of Nine, 2012, 3, 4, 40, 40, 40, 820, -1, 
127432, Columba, 2012, 2, 4, 30, 30, 30, 210, -1, 
166888, Costa Ruana, 2014, 2, 6, 20, 60, 60, 100, -1, 
192116, Cthulhu: A Deck Building Game, 2016, 1, 6, 45, 120, 120, 273, -1, 
216856, Demon Worker, 2016, 3, 4, 45, 45, 45, 421, -1, 
200784, Descent: Journeys in the Dark (Second Edition) – Road to Legend, 2016, 1, 4, -1, -1, -1, 2343, -1, 
153235, Descent: Journeys in the Dark (Second Edition) – Forgotten Souls, 2014, 1, 4, 150, 150, 150, 2875, -1, 
192904, Destroy BCN!, 2016, 2, 4, 20, 30, 30, 61, -1, 
208871, Domek: Promo Token – Car, 2016, 2, 4, 20, 40, 40, 511, -1, 
140242, Dragon's Hoard: Unicorn Promo, 2013, 2, 4, 25, 25, 25, 236, -1, 
198991, Dragons, 2016, 2, 4, 20, 20, 20, 82, -1, 
179858, En la escena del crimen, 2012, 3, 13, 30, 45, 45, 12, -1, 
240002, Endless Pass: A Viking Saga, 2018, 2, 6, 30, 30, 30, 59, -1, 
202502, Epic Card Game: Keira; Wolf Caller Promo Card, 2016, 2, 4, 20, 20, 20, 169, -1, 
216584, Epic Card Game: Uprising – Flames of Scarros, 2017, 2, 4, 20, -1, 20, 431, -1, 
216581, Epic Card Game: Uprising – Kark's Edict, 2017, 2, 4, 20, -1, 20, 431, -1, 
216583, Epic Card Game: Uprising – Velden's Wrath, 2017, 2, 4, 20, -1, 20, 431, -1, 
216582, Epic Card Game: Uprising – Will of Zannos, 2017, 2, 4, 20, -1, 20, 432, -1, 
185378, EXCEED: Red Horizon – Eva & Kaden vs. Miska & Lily, 2016, 2, 2, 5, 30, 30, 378, -1, 
180543, EXCEED: Red Horizon – Reese & Heidi vs. Vincent & Nehtali, 2016, 2, 2, 5, 30, 30, 476, -1, 
