Juego,R1, P1, R2, P2, R3, P3, R4, P4, R5, P5, R6, P6, R7, P7, R8, P8, R9, P9, R10, P10
17392, 224272, 1.0, 35677, 1.0, 193738, 1.0, 174430, 1.0, 169255, 1.0, 39953, 1.0, 103343, 1.0, 125153, 1.0, 31481, 1.0, 220308, 1.0, 
220, 172, 4.0, 40834, 4.0, 36218, 4.0, 18602, 4.0, 31260, 4.0, 68448, 4.0, 2651, 4.0, 28143, 4.0, 9216, 3.0, 34635, 3.0, 
193042, 157354, 5.0, 39856, 5.0, 84876, 5.0, 28143, 5.0, 822, 4.0, 160477, 4.0, 163412, 4.0, 161417, 4.0, 199561, 4.0, 8217, 4.0, 
122515, 84876, 8.0, 70149, 8.0, 73439, 7.0, 126163, 7.0, 157354, 7.0, 245638, 7.0, 31260, 7.0, 164928, 7.0, 2651, 7.0, 28143, 7.0, 
55690, 122515, 2.0, 35677, 2.0, 193738, 2.0, 174430, 2.0, 31481, 2.0, 220308, 2.0, 157354, 2.0, 135779, 2.0, 72125, 2.0, 225694, 2.0, 
204583, 193738, 5.0, 157354, 5.0, 3076, 5.0, 28143, 5.0, 66362, 4.0, 236457, 4.0, 176396, 4.0, 126163, 4.0, 213460, 4.0, 224316, 4.0, 
173064, 122515, 3.0, 35677, 3.0, 157354, 3.0, 72125, 3.0, 245638, 3.0, 178900, 3.0, 201808, 3.0, 239188, 3.0, 84876, 3.0, 185343, 3.0, 
140620, 122515, 5.0, 157354, 5.0, 245638, 5.0, 178900, 5.0, 84876, 5.0, 70149, 5.0, 164928, 5.0, 28143, 5.0, 171623, 5.0, 127023, 4.0, 
203993, 122515, 5.0, 193738, 5.0, 157354, 5.0, 245638, 5.0, 84876, 5.0, 70149, 5.0, 164928, 5.0, 28143, 5.0, 171623, 5.0, 110327, 4.0, 
96848, 84876, 7.0, 73439, 6.0, 122515, 6.0, 35677, 6.0, 70149, 6.0, 164928, 6.0, 28143, 6.0, 69789, 5.0, 126163, 5.0, 157354, 5.0, 
463, 36218, 5.0, 68448, 5.0, 2651, 5.0, 28143, 5.0, 2655, 4.0, 230802, 4.0, 8217, 4.0, 40692, 4.0, 34635, 4.0, 157354, 4.0, 
118, 463, 4.0, 40834, 4.0, 36218, 4.0, 18602, 4.0, 31260, 4.0, 68448, 4.0, 2651, 4.0, 555, 4.0, 3076, 4.0, 28143, 4.0, 
172386, 122515, 4.0, 125153, 4.0, 172, 4.0, 157354, 4.0, 62219, 4.0, 245638, 4.0, 216132, 4.0, 18602, 4.0, 102794, 4.0, 84876, 4.0, 
25554, 3076, 6.0, 28143, 6.0, 50, 5.0, 24480, 5.0, 822, 5.0, 8217, 5.0, 40692, 5.0, 14996, 5.0, 31627, 5.0, 27173, 5.0, 
147949, 193042, 3.0, 157354, 3.0, 36218, 3.0, 39856, 3.0, 225694, 3.0, 224037, 3.0, 84876, 3.0, 170216, 3.0, 180263, 3.0, 173346, 3.0, 
163166, 147949, 1.0, 25554, 1.0, 172386, 1.0, 118, 1.0, 463, 1.0, 96848, 1.0, 203993, 1.0, 140620, 1.0, 173064, 1.0, 204583, 1.0, 
70149, 122515, 8.0, 84876, 8.0, 73439, 7.0, 126163, 7.0, 157354, 7.0, 245638, 7.0, 31260, 7.0, 164928, 7.0, 2651, 7.0, 28143, 7.0, 
164928, 84876, 9.0, 28143, 9.0, 157354, 8.0, 176494, 7.0, 73439, 7.0, 70149, 7.0, 122515, 7.0, 245638, 7.0, 178900, 7.0, 180263, 7.0, 
1115, 68448, 3.0, 3076, 3.0, 28143, 3.0, 21763, 2.0, 278, 2.0, 25417, 2.0, 230802, 2.0, 245352, 2.0, 216092, 2.0, 245354, 2.0, 
2651, 84876, 9.0, 224316, 8.0, 34635, 8.0, 31260, 8.0, 28143, 8.0, 822, 7.0, 70149, 7.0, 122515, 7.0, 157354, 7.0, 36218, 7.0, 
555, 2651, 5.0, 18602, 5.0, 31260, 5.0, 3076, 5.0, 28143, 5.0, 24480, 4.0, 50, 4.0, 93, 4.0, 9216, 4.0, 19857, 4.0, 
3076, 28143, 9.0, 224316, 8.0, 157354, 8.0, 84876, 8.0, 8217, 7.0, 40692, 7.0, 230802, 7.0, 2651, 7.0, 164928, 7.0, 178900, 7.0, 
228341, 3076, 5.0, 164928, 5.0, 70149, 5.0, 122515, 5.0, 157354, 5.0, 245638, 5.0, 201808, 5.0, 84876, 5.0, 28143, 5.0, 144733, 5.0, 
28143, 157354, 10.0, 84876, 10.0, 224316, 9.0, 3076, 9.0, 164928, 9.0, 180263, 9.0, 68448, 9.0, 8217, 8.0, 40692, 8.0, 230802, 8.0, 
128882, 28143, 1.0, 228341, 1.0, 3076, 1.0, 555, 1.0, 2651, 1.0, 1115, 1.0, 164928, 1.0, 70149, 1.0, 163166, 1.0, 147949, 1.0, 
205896, 28143, 2.0, 2651, 2.0, 164928, 2.0, 70149, 2.0, 172386, 2.0, 96848, 2.0, 203993, 2.0, 140620, 2.0, 122515, 2.0, 220, 2.0, 
1829, 205896, 1.0, 128882, 1.0, 28143, 1.0, 228341, 1.0, 3076, 1.0, 555, 1.0, 2651, 1.0, 1115, 1.0, 164928, 1.0, 70149, 1.0, 
132531, 28143, 7.0, 164928, 7.0, 157354, 7.0, 84876, 7.0, 3076, 6.0, 2651, 6.0, 70149, 6.0, 122515, 6.0, 36218, 6.0, 245638, 6.0, 
237182, 2651, 2.0, 70149, 2.0, 96848, 2.0, 122515, 2.0, 35677, 2.0, 220308, 2.0, 62219, 2.0, 124361, 2.0, 216132, 2.0, 102794, 2.0, 
144733, 28143, 6.0, 3076, 6.0, 164928, 6.0, 70149, 6.0, 122515, 6.0, 157354, 6.0, 245638, 6.0, 84876, 6.0, 171623, 6.0, 170042, 5.0, 
169786, 28143, 6.0, 157354, 6.0, 201808, 6.0, 84876, 6.0, 120677, 6.0, 171623, 6.0, 8217, 5.0, 121921, 5.0, 170042, 5.0, 129622, 5.0, 
157969, 36218, 4.0, 68448, 4.0, 230802, 3.0, 6249, 3.0, 224316, 3.0, 28143, 3.0, 3076, 3.0, 31481, 3.0, 157354, 3.0, 40834, 3.0, 
38453, 2511, 2.0, 169786, 2.0, 144733, 2.0, 132531, 2.0, 28143, 2.0, 228341, 2.0, 3076, 2.0, 555, 2.0, 2651, 2.0, 164928, 2.0, 
162886, 2511, 3.0, 169786, 3.0, 144733, 3.0, 28143, 3.0, 228341, 3.0, 3076, 3.0, 164928, 3.0, 70149, 3.0, 25554, 3.0, 203993, 3.0, 
