Id, Name, Year, MinPlayers, MaxPlayers, MinPlayTime, MaxPlayTime, PlayingTime, NumOwned, Age,
205359, Star Wars: Destiny, 2016, 2, 2, 30, 30, 30, 5706, -1, 
183562, Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set, 2015, 2, 2, 30, 45, 45, 6823, -1, 
169146, Stone Garden, 2016, 2, 4, 75, 75, 75, 239, -1, 
76674, String Railway, 2012, 2, 5, 30, 30, 30, 2685, -1, 
112192, Sugar Gliders, 2015, 2, 4, 30, 30, 30, 372, -1, 
82421, Summoner Wars: Phoenix Elves vs Tundra Orcs, 2012, 2, 4, 30, 30, 30, 5410, -1, 
233974, Sundae Split, 2018, 2, 5, 20, 20, 20, 503, -1, 
91514, Super Rhino!, 2011, 2, 5, 5, 15, 15, 10251, -1, 
170771, Sword & Sorcery, 2017, 1, 5, 60, 90, 90, 4843, -1, 
220368, Sword Art Online Board Game: Sword of Fellows, 2017, 1, 4, 30, 30, 30, 408, -1, 
27627, Talisman (Revised 4th Edition), 2008, 2, 6, 90, 90, 90, 16621, -1, 
145976, Talon, 2016, 2, 6, 60, 90, 90, 1790, -1, 
146278, Tash-Kalar: Arena of Legends, 2013, 2, 4, 30, 60, 60, 6682, -1, 
137406, Templar: The Secret Treasures, 2013, 2, 5, 60, 60, 60, 823, -1, 
153507, Terra, 2015, 2, 6, 45, 60, 60, 2436, -1, 
226322, That's a Question!, 2017, 3, 6, 30, -1, 30, 1213, -1, 
114387, Thebes: The Tomb Raiders, 2013, 2, 4, 30, 30, 30, 1489, -1, 
142961, Thunderstone Advance: Numenera, 2013, 1, 5, 60, 90, 90, 2779, -1, 
253284, Ticket to Ride: New York, 2018, 2, 4, 10, 15, 15, 3458, -1, 
31627, Ticket to Ride: Nordic Countries, 2008, 2, 3, 30, 60, 60, 13862, -1, 
67180, Tikal II: The Lost Temple, 2010, 2, 4, 60, 120, 120, 1906, -1, 
175495, Titan Race, 2015, 2, 6, 30, 30, 30, 1332, -1, 
215463, Tokyo Highway, 2016, 2, 2, 30, 50, 50, 961, -1, 
160409, Too Many Cinderellas, 2015, 2, 4, 10, 10, 10, 740, -1, 
191877, Touria, 2016, 2, 4, 45, 60, 60, 725, -1, 
148319, Tragedy Looper, 2014, 2, 4, 120, 120, 120, 6926, -1, 
173092, Träxx, 2015, 1, 4, 15, 15, 15, 695, -1, 
207845, Treasure Lair, 2016, 2, 4, 30, 30, 30, 320, -1, 
104377, TSCHAK!, 2011, 2, 4, 40, 40, 40, 966, -1, 
124172, Tsuro of the Seas, 2012, 2, 8, 30, 30, 30, 8590, -1, 
941, Turbo Taxi, 2005, 2, 4, 30, 30, 30, 1433, -1, 
